id;start_date;end_date;language
1;2021-09-11T20:33:41;2021-09-11T18:23:56;ENGLISH
2;2021-09-11T06:01:16;2021-09-11T15:26:45;FRENCH
3;2021-09-11T15:57:28;2021-09-11T04:02:36;SPANISH
4;2021-09-11T20:28:17;2021-09-11T01:54:36;FRENCH
5;2021-09-11T22:44:40;2021-09-11T07:03:38;ENGLISH
6;2021-09-11T08:15:23;2021-09-11T22:15:43;SPANISH
7;2021-09-11T16:19:11;2021-09-11T02:53:20;FRENCH
8;2021-09-11T06:45:04;2021-09-11T03:20:53;FRENCH
9;2021-09-11T07:36:42;2021-09-11T19:08:08;FRENCH
10;2021-09-11T03:33:40;2021-09-11T20:31:09;FRENCH
